Date,log_returns,State,SPX
1941-02-18,-0.21193170836313588,0,9.63
1941-02-19,-0.8495863268514459,0,9.55
1941-02-20,1.6741530461452097,0,9.72
1941-02-21,0.39214101299325876,0,9.76
1941-02-24,0.7662007729550919,0,9.84
1941-02-25,0.838877209907267,0,9.93
1941-02-26,0.18502723150160444,0,9.95
1941-02-27,-0.6524594062729643,0,9.88
1941-02-28,0.3746487809703083,0,9.92
1941-03-01,-0.1871469289656199,0,9.9
1941-03-03,-1.2074660141237963,0,9.77
1941-03-04,0.46515329381434734,0,9.82
1941-03-05,-0.557724125113346,0,9.76
1941-03-06,1.6540737545129933,0,9.95
1941-03-07,-0.45265590345678686,0,9.9
1941-03-08,0.09456564682145087,0,9.91
1941-03-10,1.6898920983621981,0,10.1
1941-03-11,-0.7062060109903436,0,10.02
1941-03-12,0.0,0,10.02
1941-03-13,-0.4437600548414992,0,9.97
1941-03-14,0.0931819034054002,0,9.98
1941-03-15,0.646165693972921,0,10.05
1941-03-17,-0.18426357176057487,0,10.03
1941-03-18,0.3681366174183929,0,10.07
1941-03-19,-0.5518919486066654,0,10.01
1941-03-20,0.09623496721880662,0,10.02
1941-03-21,-0.8868636056577627,0,9.93
1941-03-22,-0.36989540768959756,0,9.9
1941-03-24,0.2491052533080499,0,9.92
1941-03-25,0.4977910833053996,0,9.96
1941-03-26,-0.37249249483605895,0,9.93
1941-03-27,1.0034645122438715,0,10.01
1941-03-28,-0.9305347529622714,0,9.94
1941-03-29,-0.26747054120340463,0,9.92
1941-03-31,0.5421285204020974,0,9.96
1941-04-01,0.13859618310578686,0,9.97
1941-04-02,0.5509512150956015,0,10.01
1941-04-03,1.9552315725343117,0,10.16
1941-04-04,-0.2592124851331818,0,10.14
1941-04-05,-0.3890762967188258,0,10.11
1941-04-07,-0.8193301989164674,1,10.05
1941-04-08,-2.5575945193043697,1,9.84
1941-04-09,-1.6667390531666963,1,9.7
1941-04-10,-0.1327479401819668,1,9.69
1941-04-12,-1.1829950868570098,1,9.6
1941-04-14,0.26344425799701016,1,9.62
1941-04-15,-0.44972002426317415,1,9.59
1941-04-16,0.0,1,9.59
1941-04-17,-0.7599701944042515,1,9.54
